Paper ID	Biological Process	Title	Current Tags
WBPaper00005475.ce.mr.paper	aging | GO:0007568	Transcriptional profile of aging in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00005976.ce.mr.paper	aging | GO:0007568	Genes that act downstream of DAF-16 to influence the lifespan of Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00006365.ce.mr.paper	aging | GO:0007568	Comparing genomic expression patterns across species identifies shared transcriptional profile in aging.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00013462.ce.mr.paper	aging | GO:0007568	Microarray analysis of gene expression with age in individual nematodes.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00024278.ce.mr.paper	aging | GO:0007568	Shared transcriptional signature in Caenorhabditis elegans Dauer larvae and long-lived daf-2 mutants implicates detoxification system in longevity assurance.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00027339.ce.mr.paper	aging | GO:0007568	The nuclear hormone receptor DAF-12 has opposing effects on Caenorhabditis elegans lifespan and regulates genes repressed in multiple long-lived worms.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00028564.ce.mr.paper	aging | GO:0007568	Delayed development and lifespan extension as features of metabolic lifestyle alteration in C. elegans under dietary restriction.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00028789.ce.mr.paper	aging | GO:0007568	p38 MAPK regulates expression of immune response genes and contributes to longevity in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion|Topic: defense response|Topic: defense response to other organism
WBPaper00029334.ce.mr.paper	aging | GO:0007568	Decline of nucleotide excision repair capacity in aging Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion|Topic: DNA repair|Topic: global genome nucleotide-excision repair|Topic: DNA damage response, detection of DNA damage
WBPaper00032062.ce.mr.paper	aging | GO:0007568	An elt-3/elt-5/elt-6 GATA transcription circuit guides aging in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00032165.ce.mr.paper	aging | GO:0007568	Age-related behaviors have distinct transcriptional profiles in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00035479.ce.mr.paper	aging | GO:0007568	Glucose shortens the life span of C. elegans by downregulating DAF-16/FOXO activity and aquaporin gene expression.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00035504.ce.mr.paper	aging | GO:0007568	Divergent mechanisms controlling hypoxic sensitivity and lifespan by the DAF-2/insulin/IGF-receptor pathway.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00036135.ce.mr.paper	aging | GO:0007568	A two-tiered compensatory response to loss of DNA repair modulates aging and stress response pathways.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00036256.ce.mr.paper	aging | GO:0007568	Insulin/IGF-1 signaling mutants reprogram ER stress response regulators to promote longevity.	Method: microarray|Species: Caenorhabditis elegans|Topic: mRNA splicing via endonucleolytic cleavage and ligation involved in unfolded protein response|Topic: endoplasmic reticulum unfolded protein response|Topic: endoplasmic reticulum
WBPaper00036383.ce.mr.paper	aging | GO:0007568	Members of the H3K4 trimethylation complex regulate lifespan in a germline-dependent manner in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00037624.ce.mr.paper	aging | GO:0007568	ETS-4 is a transcriptional regulator of life span in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00038172.ce.mr.paper	aging | GO:0007568	Lifespan extension induced by AMPK and calcineurin is mediated by CRTC-1 and CREB.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00038462.ce.mr.paper	aging | GO:0007568	A decline in p38 MAPK signaling underlies immunosenescence in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
